,facility_name,facility_address,rating
0,HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,
1,REILLY'S,100 WORLD WAY # 120,
2,STREET CHURROS,6801 HOLLYWOOD BLVD # 253,4.0
3,TRINITI ECHO PARK,1814 W SUNSET BLVD,4.5
4,POLLEN,2100 ECHO PARK AVE,4.0
5,THE SPOT GRILL,10004 NATIONAL BLVD,3.5
6,7 ELEVEN #37215A,3330 W FLORENCE AVE,
7,CPK,100 WORLD WAY # 126,
8,PHO LALA,3500 W 6TH ST STE 226,
9,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,4.5
10,UPSTAIRS,3707 N CAHUENGA BLVD,
11,EL POLLO LOCO,5319 W SUNSET BLVD,
12,POONG NYUN BAKERY,928 S WESTERN AVE STE 109,4.5
13,EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,
14,POPULAR DONUTS,3614 W SLAUSON AVE,3.5
15,CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,4.0
16,FOOD COURT TRAY WASHING AREA,928 S WESTERN AVE STE 300,
17,HMS BOUNTY,3357 WILSHIRE BLVD,4.0
18,7 ELEVEN #27069,11666 W OLYMPIC BLVD,
19,AN'S CHAN BANG,244 S OXFORD AVE # 5,
20,MURAKAMI,7160 MELROSE AVE,4.5
21,DELTA SKY CLUB T3,300 WORLD WAY,
22,CRYSTAL CAFE,3500 W 6TH ST STE #321,
23,ORANGE TREE CAFE,3500 W 6TH ST STE #220,4.0
24,CAMY'S GRILL,3339 WILSHIRE BLVD,
25,SABORES DEL PERU,1015 WALL ST STE 123,
26,M CAFE DE CHAYA,7119 MELROSE AVE,
27,INDIA'S GRILL,428 S SAN VICENTE BLVD,
28,LA INDIA BONITA CAFE,1277 S INDIANA ST,
29,NORM'S RESTAURANT,470 N LA CIENEGA BLVD,
30,BEVERLY FALAFEL,8508 W 3RD ST,4.0
31,KRISPY KRUNCHY CHICKEN - ALVARADO,600 S ALVARADO ST STE 111C,
32,CAFE 153,1125 3/4 WALL ST,4.5
33,DUNES RESTAURANT,5625 W SUNSET BLVD,
34,THE FOUNDATION CENTER,11633 S WESTERN AVE,4.0
35,ONO HAWAIIAN BBQ,5539 W SUNSET BLVD,3.0
36,MUSH BAKERY,5224 W SUNSET BLVD,5.0
37,REGGIE'S DELI & CAFE,1910 W SUNSET BLVD STE 150,
38,HOT THAI RESTAURANT,416 S SAN VICENTE BLVD,4.0
39,WABA GRILL,7109 W SUNSET BLVD,
40,THANK YOU FOR COMING,3416 GLENDALE BLVD,4.5
41,TROPICAL FRUITS & JUICES,5729 N FIGUEROA ST,
42,SUBWAY -52105,255 S GRAND AVE STE 101,
43,IHOP,7006 W SUNSET BLVD,
44,ALEX FISH MARKET,1451 W MARTIN LUTHER KING JR BLVD,4.0
45,PANDA EXPRESS #2596,1544 S LA CIENEGA BLVD,
46,GOLDEN INDIAN GRILL,5954 W PICO BLVD,4.0
47,LA MONARCA BAKERY,5835 N FIGUEROA ST,4.0
48,LAXSUL COMPANY,380 WORLD WAY LVL6 SP5,
49,THE COUNTER SPACE 7C,700 WORLD WAY,
50,KALBIS KOREAN GRILL,11102 W OLYMPIC BLVD,
51,TOGO'S,505 S FLOWER ST STE #B420,
52,AFC SUSHI AT WALGREENS #1527,1501 N VINE ST,
53,JACKY'S RESTAURANT,310 W 5TH ST #102,
54,CALIFORNIA MEXICAN GRILL,11106 W OLYMPIC BLVD,3.5
55,DOLCINI CAFFEE EXPRESSO,619 S GRAND AVE,
56,PRIME GRIND COFFEE,714 W 1ST ST,3.5
57,ETCHEA,254 S HOPE ST,4.0
58,RALPHS MARKET #206,5429 HOLLYWOOD BLVD,
59,LOTERIA GRILL SPACE 7C,700 WORLD WAY,
60,HOY'S WOK,7105 W SUNSET BLVD,
61,BASE COAT -JUICE BAR,704 MATEO ST,
62,WAX PAPER,2902 KNOX AVE,4.5
63,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,
64,KIKKA @ ARCO PLAZA,505 S FLOWER ST # B-270,
65,ROLLING STONE SPACE 7C,700 WORLD WAY,
66,J & F ICE CREAM SHOP,1703 MARIACHI PLZ,
67,DONUT FACTORY,2225 N SAN FERNANDO RD,4.0
68,JOHNNIE'S NEW YORK PIZZA,505 S FLOWER ST # B300F,
69,EAGLE ROCK BREWERY,3056 ROSWELL ST,4.5
70,DONUT STAR,4102 VERDUGO RD,4.0
71,ROSE GARDEN CAFE,5930 FRANKLIN AVE,
72,MRS FIELD'S COOKI #426,505 S FLOWER ST,
73,SHIN KANG SEO MYUN OAK,3250 W OLYMPIC BLVD #313,
74,MCDONALD'S #2084,3124 N SAN FERNANDO RD,
75,PLANCHA TACOS,2024 PACIFIC AVE,3.5
76,BLD,700 WORLD WAY # 7C,2.5
77,NOODLE PLUS,3250 W OLYMPIC BLVD STE 309,4.5
79,VNS CHICKEN,3250 W OLYMPIC BLVD STE 105,
80,CELESTE,535 S GRAND AVE,
81,800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,
82,CHOCOLATE BAR,1635 N VINE ST,
83,KETTLE GLAZED DONUTS,6211 FRANKLIN AVE,
84,LOCALI,5825 FRANKLIN AVE,4.0
85,MS DONUTS,1353 GLENDALE BLVD,4.5
86,SUBWAY #39685,704 W 1ST ST,
87,LEMONADE RESTAURANT,505 S FLOWER ST # B-15,
88,KOREAN AIR/ SKYTEAM LOUNGE,380 WORLD WAY S4,
89,LA SIRENA RESTAURANT,4226 E OLYMPIC BLVD,3.5
90,JACK IN THE BOX # 335,2521 PASADENA AVE,
91,FOOD PICNIC DAY,3250 W OLYMPIC BLVD STE 311,
92,BOLT,5648 HOLLYWOOD BLVD,4.5
93,JIN RESTAURANT,3250 W OLYMPIC BLVD STE 310,
95,CANTINA LOREDO,380 WORLD WAY # T81,
96,QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,
